Location;Attendance_Numbers;Visitor_Demographics;;Economic_Impact;Music_Genre
 UK;200000;18-35; Music Enthusiasts;£100£million;Various
 Belgium;400000;18-30; EDM Fans;£150£million;EDM
 Hungary;500000;18-40; International Attendees;£130£million;Various
 Germany;90000;20-40; Rock Fans;£80£million;Rock
 Denmark;130000;18-40; Alternative Music Lovers;£70£million;Alternative
 UK;100000;16-35; Rock and Indie Fans;£60£million;Rock/Indie
 France;60000;30-60; Jazz Enthusiasts;£20£million;Jazz
 Spain;40000;18-35; Pop and Indie Fans;£15£million;Pop/Indie
 Serbia;200000;18-30; Electronic and Rock Fans;£50£million;Electronic/Rock
 Spain;200000;20-40; Indie and Electronic Music Lovers;£70£million;Indie/Electronic
 Germany;100000;18-35; Alternative Music Fans;£40£million;Alternative
 Belgium;200000;18-35; Diverse Music Genres;£60£million;Various
 Spain;150000;16-30; Pop and Rock Fans;£30£million;Pop/Rock
 Belgium;200000;18-35; Rock and Electronic Fans;£55£million;Rock/Electronic
 Belgium;150000;18-40; Rock Enthusiasts;£85£million;Rock
 Spain;100000;20-40; Electronic Music Fans;£35£million;Electronic
 Germany;75000;18-45; Metal Fans;£45£million;Metal
 UK;80000;18-35; Rock and Pop Fans;£40£million;Rock/Pop
 Netherlands;90000;18-30; EDM Fans;£25£million;EDM
 UK;40000;18-35; Indie and Alternative Music Fans;£15£million;Indie/Alternative
 UK;45000;18-40; Diverse Music and Arts Fans;£20£million;Various
 UK;30000;18-35; Music and Action Sports Fans;£12£million;Various
 UK;25000;18-40; Indie and Folk Music Fans;£10£million;Indie/Folk
 Germany;40000;20-45; Metal and Hardcore Fans;£30£million;Metal/Hardcore
 UK;80000;18-30; Electronic and Indie Music Fans;£25£million;Electronic/Indie
 UK;60000;18-35; EDM Fans;£30£million;EDM
 Australia;40000;18-35; Indie and Electronic Fans;AU$20£million;Indie/Electronic
 UK;70000;18-35; EDM Fans;£35£million;EDM
 Switzerland;20000;25-60; Jazz and Blues Fans;CHF£10£million;Jazz/Blues
 Uganda;20000;18-40; Afrobeat and Electronic Fans;USD£5£million;Afrobeat/Electronic
 Spain;35000;18-40; Indie and Electronic Fans;£18£million;Indie/Electronic
 USA;47000;25-50; Film and Music Fans;USD£25£million;Various
 Spain;80000;18-35; Rock and Alternative Fans;£45£million;Rock/Alternative
 Poland;60000;18-35; Diverse Music Genres;PLN£30£million;Various
 Switzerland;30000;18-40; Pop and Rock Fans;CHF£8£million;Pop/Rock
 UK;45000;18-35; Electronic and Urban Music Fans;£22£million;Electronic/Urban
 Greece;30000;18-35; Rock and Electronic Fans;£12£million;Rock/Electronic
 Finland;35000;18-35; Pop and Rock Fans;£10£million;Pop/Rock
 Germany;50000;18-35; Electronic and Indie Fans;£25£million;Electronic/Indie
 UK;30000;18-35; Electronic and Dance Fans;£15£million;Electronic/Dance
 UK;60000;18-40; Diverse Music and Arts Fans;£40£million;Various
 USA;125000;18-40; Various Music Fans;USD£50£million;Various
 France;75000;18-35; Rock and Electronic Fans;£30£million;Rock/Electronic
 Spain;35000;18-35; Electronic and Rock Fans;£15£million;Electronic/Rock
